Strain,Actinobacteriota,Bacteroidota,Campilobacterota,Cyanobacteria,Desulfobacterota,Elusimicrobiota,Euryarchaeota,Firmicutes,Fusobacteriota,Patescibacteria,Planctomycetota,Proteobacteria,Spirochaetota,Synergistota,Thermoplasmatota,Verrucomicrobiota
Litter_1,956,17319,129,0,502,0,4787,64023,413,0,99,13636,196,416,289,31
Litter_10,2047,33183,2294,0,1070,0,14104,66003,31,2,225,9940,14,3587,328,153
Litter_2,1176,23112,552,0,734,0,5601,45043,4496,0,34,21207,1181,3986,165,29
Litter_3,71,11480,108,0,603,0,4998,76276,8,32,716,28994,566,59,41,38
Litter_4,872,28968,556,0,714,61,5811,50797,233,10,34,6139,196,2642,257,100
Litter_5,1107,16753,102,0,355,16,3497,73027,2909,0,305,24730,538,1151,274,148
Litter_6,807,15974,582,0,330,0,4583,52123,39,9,73,21314,7,1693,192,19
Litter_7,636,21035,739,0,1304,156,2854,76584,33,7,573,11313,619,592,341,368
Litter_8,2231,24621,95,0,564,0,5433,76248,1960,6,18,38410,5,107,124,15
Litter_9,784,21639,149,0,836,0,9026,50768,239,0,141,22692,132,1043,96,48
Sow_1,168,1339,4,11,9,0,720,22139,0,7,85,140,767,0,0,15
Sow_10,97,553,0,0,0,0,2049,50052,0,7,85,9,3402,0,0,53
Sow_2,7,509,16,0,18,0,994,19190,0,16,70,280,75,0,6,12
Sow_3,37,1370,0,13,0,0,1376,49999,0,51,60,614,863,0,0,57
Sow_4,33,838,112,0,54,0,4502,20898,0,7,98,226,1009,2,15,29
Sow_5,0,3811,33,38,113,0,1470,39699,0,21,199,610,1307,3,44,457
Sow_6,13,4716,53,0,9,0,806,29908,23,0,16,1144,34,0,0,9
Sow_7,37,80,0,0,5,0,597,20264,0,11,32,170,100,0,0,0
Sow_8,30,1604,44,0,29,0,3097,28873,0,0,90,677,593,0,14,137
Sow_9,0,903,0,14,0,0,1256,26627,0,0,63,181,446,0,0,37
